"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Petri net based software testing scheduling and selecting","Senke Ding; Peifu Xu; W. Wu; Yi Yang; Zichao Xing; Feihua Lu; Cheng Li","Institute of Cyber-systems and Control, Zhejiang University, Hangzhou, China; China Tobacco, Zhejiang Industrial Co., Ltd, Hangzhou, China; Institute of Cyber-systems and Control, Zhejiang University, Hangzhou, China; Institute of Cyber-systems and Control, Zhejiang University, Hangzhou, China; Institute of Cyber-systems and Control, Zhejiang University, Hangzhou, China; Institute of Cyber-systems and Control, Zhejiang University, Hangzhou, China; Institute of Cyber-systems and Control, Zhejiang University, Hangzhou, China","2017 IEEE 14th International Conference on Networking, Sensing and Control (ICNSC)","3 Aug 2017","2017","","","168","173","Computer software system has a profound impact on human society. It increasingly highlights the importance of software testing. Reducing the cost and improving the efficiency of software testing has an important practical significance and economic value. This paper investigates on software testing workflow from the perspective of discrete event dynamic systems and presents a method to improve the efficiency of software testing by optimizing task scheduling and execution priorities. We developed a simulation program of task scheduling based on Petri net to compare the performance of each scheduling option in different situations and made the analysis of their differences.","","978-1-5090-4429-0","10.1109/ICNSC.2017.8000086","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8000086","","Software;Analytical models;Phase locked loops","discrete event systems;Petri nets;program testing;scheduling","Petri net based software testing scheduling;computer software system;discrete event dynamic systems;task scheduling;execution priorities","","","","8","IEEE","3 Aug 2017","","","IEEE","IEEE Conferences"
"Software Reliability Modeling and Analysis via Kernel-Based Approach","K. Okumura; H. Okamura; T. Dohi","Department of Information Engineering, Hiroshima University, Higashi-Hiroshima, Japan; Department of Information Engineering, Hiroshima University, Higashi-Hiroshima, Japan; Department of Information Engineering, Hiroshima University, Higashi-Hiroshima, Japan","2017 22nd International Conference on Engineering of Complex Computer Systems (ICECCS)","15 Feb 2018","2017","","","154","157","Traditional software reliability analysis utilizes only the fault count data observed in testing phase, and is done independently of the source code itself. Recently, it is known that utilization of software metrics in software reliability modeling and analysis can lead to more accurate reliability estimation and fault prediction through many empirical studies. However, such a metrics-based modeling also requires a careful selection of software metrics and their measurement, which are often troublesome and cost-consuming in practice. In this paper, we propose a kernel-based approach to estimate the quantitative software reliability, where two cases are considered; multiple software metrics are used and not. In the former case, we combine the kernel regression with the well-known non-homogeneous Poisson process-based software reliability growth model (SRGM), and propose a new metrics-based SRGM. In the latter case, we perform a similarity-based analysis through a source code transformation algorithm and try to estimate the quantitative software reliability from the source code directly without measuring multiple software metrics. Numerical examples with real application programs are presented to validate our kernel-based approach in the above two cases.","","978-1-5386-2431-9","10.1109/ICECCS.2017.16","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8292815","software reliability;software reliability growth model;kernel method;non-homogeneous Poisson process;similarity analysis;static source code analysis;statistical estimation;regularization;fault-free probability","Kernel;Software reliability;Software metrics;Estimation","program testing;regression analysis;software fault tolerance;software metrics;source code (software);stochastic processes","fault count data;software reliability modeling;fault prediction;quantitative software reliability;software reliability growth model;source code transformation algorithm;software reliability analysis;reliability estimation;software metrics;kernel-based approach;SRGM;kernel regression;nonhomogeneous Poisson process;testing phase;similarity-based analysis","","","","7","IEEE","15 Feb 2018","","","IEEE","IEEE Conferences"
"Simultaneous Refactoring and Regression Testing","J. J. Yackley; M. Kessentini; G. Bavota; V. Alizadeh; B. R. Maxim","CIS Department, University of Michigan, Dearborn, Michigan, USA; CIS Department, University of Michigan, Dearborn, Michigan, USA; Faculty of Informatics, Universit?? della Svizzera italiana, Lugano, Switzerland; CIS Department, University of Michigan, Dearborn, Michigan, USA; CIS Department, University of Michigan, Dearborn, Michigan, USA","2019 19th International Working Conference on Source Code Analysis and Manipulation (SCAM)","12 Dec 2019","2019","","","216","227","Currently, refactoring and regression testing are treated independently by existing studies. However, software developers frequently switch between these two activities, using regression testing to identify unwanted behavior changes introduced while refactoring and applying refactoring on identified buggy code fragments. Our hypothesis is that the tools to support developers in these two tasks could transfer part of the knowledge extracted from the process of finding refactoring opportunities to identify relevant test cases, and vice-versa. We propose a simultasking, search-based algorithm that unifies the tasks of refactoring and regression testing, hence solving them simultaneously and enabling knowledge transfer between them. The salient feature of the proposed algorithm is a unified and generic solution representation scheme for both problems, which serves as a common platform for knowledge transfer between them. We implemented and evaluated the proposed simultasking approach on six opensource systems and one industrial project. Our study features quantitative and qualitative analysis performed with developers, and the results achieved show that the proposed approach provides advantages over mono-task techniques treating refactoring and regression testing separately.","2470-6892","978-1-7281-4937-0","10.1109/SCAM.2019.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930845","Refactoring, regression testing, search based software engineering","Testing;Task analysis;Computer bugs;Knowledge transfer;Sociology;Statistics;Genetics","object-oriented methods;program testing;public domain software;regression analysis;search problems;software maintenance;software metrics","refactoring opportunities;relevant test cases;regression testing;knowledge transfer;simultaneous refactoring;refactoring applying;identified buggy code fragments;simultasking algorithm;search-based algorithm;salient feature;generic solution representation scheme;mono-task techniques","","","","45","IEEE","12 Dec 2019","","","IEEE","IEEE Conferences"
"Continuous Integration, Delivery and Deployment: A Systematic Review on Approaches, Tools, Challenges and Practices","M. Shahin; M. Ali Babar; L. Zhu","Centre for Research on Engineering Software Technologies, The University of Adelaide, Adelaide, SA, Australia; Centre for Research on Engineering Software Technologies, The University of Adelaide, Adelaide, SA, Australia; Data61, Commonwealth Scientific and Industrial Research Organisation, Sydney, NSW, Australia","IEEE Access","20 May 2017","2017","5","","3909","3943","Continuous practices, i.e., continuous integration, delivery, and deployment, are the software development industry practices that enable organizations to frequently and reliably release new features and products. With the increasing interest in the literature on continuous practices, it is important to systematically review and synthesize the approaches, tools, challenges, and practices reported for adopting and implementing continuous practices. This paper aimed at systematically reviewing the state of the art of continuous practices to classify approaches and tools, identify challenges and practices in this regard, and identify the gaps for future research. We used the systematic literature review method for reviewing the peer-reviewed papers on continuous practices published between 2004 and June 1, 2016. We applied the thematic analysis method for analyzing the data extracted from reviewing 69 papers selected using predefined criteria. We have identified 30 approaches and associated tools, which facilitate the implementation of continuous practices in the following ways: (1) reducing build and test time in continuous integration (CI); (2) increasing visibility and awareness on build and test results in CI; (3) supporting (semi-) automated continuous testing; (4) detecting violations, flaws, and faults in CI; (5) addressing security and scalability issues in deployment pipeline; and (6) improving dependability and reliability of deployment process. We have also determined a list of critical factors, such as testing (effort and time), team awareness and transparency, good design principles, customer, highly skilled and motivated team, application domain, and appropriate infrastructure that should be carefully considered when introducing continuous practices in a given organization. The majority of the reviewed papers were validation (34.7%) and evaluation (36.2%) research types. This paper also reveals that continuous practices have been successfully applied to both greenfield and maintenance projects. Continuous practices have become an important area of software engineering research and practice. While the reported approaches, tools, and practices are addressing a wide range of challenges, there are several challenges and gaps, which require future research work for improving the capturing and reporting of contextual information in the studies reporting different aspects of continuous practices; gaining a deep understanding of how software-intensive systems should be (re-) architected to support continuous practices; and addressing the lack of knowledge and tools for engineering processes of designing and running secure deployment pipelines.","2169-3536","","10.1109/ACCESS.2017.2685629","Data61, a business unit of CSIRO, Australia; Australian Government Research Training Program Scholarship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7884954","Continuous integration;continuous delivery;continuous deployment;continuous software engineering;systematic literature review;empirical software engineering","Software;Organizations;Software engineering;Systematics;Bibliographies;Testing;Production","program testing;software fault tolerance;software houses;software maintenance","software engineering;software-intensive systems;maintenance projects;greenfield projects;design principles;transparency;team awareness;critical factors;deployment process dependability improvement;deployment process reliability improvement;scalability issues;security issues;fault detection;flaw detection;violation detection;semiautomated continuous testing;CI;test time reduction;build time reduction;thematic analysis method;continuous practices;systematic literature review method;software development industry practices;software deployment;software delivery;continuous integration","","223","","59","OAPA","22 Mar 2017","","","IEEE","IEEE Journals"
"Comparing the effort and effectiveness of automated and manual tests","I. Dobles; A. Martínez; C. Quesada-López","Universidad de Costa Rica, San Jose, San JosÃ©, CR; Universidad de Costa Rica, San Jose, San JosÃ©, CR; Universidad de Costa Rica, San Jose, San JosÃ©, CR","2019 14th Iberian Conference on Information Systems and Technologies (CISTI)","15 Jul 2019","2019","","","1","6","This paper presents three case studies that compare the effort and effectiveness of automated versus manual testing, in the context of a multinational services organization. Effort is measured in terms of the total test time, which includes script creation and test execution in the case of automated testing, and comprises test execution and reporting in the case of manual testing. Effectiveness is measured in terms of the number and severity of defects found. The software under test is a set of Java web applications. The testing process was carried out by two testers within the organization. Our results show that automated testing needs a higher initial effort, mainly caused by the creation of the scripts, but this cost can be amortized in time as automated tests are executed multiple times for regression testing. Results also show that automated testing is more effective than manual testing at finding defects.","2166-0727","978-9-8998-4349-3","10.23919/CISTI.2019.8760848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760848","automated testing;manual testing;effectiveness;effort;industrial case study","Manuals;Testing;Automation;Tools;Organizations;Software;Investment","Java;program testing","manual testing;total test time;test execution;automated testing;regression testing;multinational service organization;script creation;Java Web applications","","1","","14","","15 Jul 2019","","","IEEE","IEEE Conferences"
"A Hybrid Nonlinear Manifold Detection Approach for Software Defect Prediction","S. Ghosh; A. Rana; V. Kansal","Department of Computer Science & Engineering, Amity University Uttar Pradesh Noida, Uttar Pradesh, India; Department of Computer Science & Engineering, Amity University Uttar Pradesh Noida, Uttar Pradesh, India; Department of Computer Science & Engineering, Institute of Engineering and Technology Lucknow, India","2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","1 Jul 2019","2018","","","453","459","Rapid development of software technology has influence on substantial industrial growth. Wide application of software in business related matters leads to development of reliable and defect free software system which is a challenging task. It requires development of effective techniques for prediction of software defects at early stage. For complexities in manual prediction of defects, automated techniques have come into effect. They are basically based on learning of pattern from earlier versions of software development and finding out the defects from the current version. Considerable impact of these techniques on industrial growth by predicting defects in software system attracted researchers in this field.In-spite of many studies performed by applying these techniques, desirable performance level and accurate defect prediction still remains a challenging task. For solving this problem, a hybrid technique based on Nonlinear Manifold Detection Techniques (Nonlinear MDTs) and machine learning for prediction of defects has been proposed in this paper. A new hybrid Nonlinear Manifold Detection (Nonlinear MD) Model has been applied for selecting and optimizing the features of software datasets that have been processed using Decision Tree (DT) and Random Forest (RF) classifications. Finally, a comparison and statistical evaluation of the experimental results obtained using new hybrid Nonlinear MD Model-DT have been made by Friedman test followed by Wilcoxon Sign rank test. The statistical outcome revealed that the proposed new hybrid Nonlinear MD Model-DT classification is better result oriented and more accurate in software defect prediction.","","978-1-5386-4692-2","10.1109/ICRITO.2018.8748788","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8748788","Decision Tree;Dimensionality Reduction;Feature Optimization;Friedman test;Nonlinear Manifold Detection;Software Defect Prediction;Wilcoxon sign rank test","Software;Optimization;Manifolds;Machine learning;Predictive models;Feature extraction;Data mining","decision trees;feature selection;pattern classification;program testing;random forests;software metrics;software quality;software reliability;statistical analysis","software defect prediction;software technology;substantial industrial growth;automated techniques;software development;machine learning;hybrid nonlinear MD model-DT classification;nonlinear MDTs;hybrid nonlinear manifold detection approach;nonlinear manifold detection techniques;features selection;features optimization;decision tree;random forest classifications;RF classifications;statistical evaluation;Friedman test;Wilcoxon Sign rank test;defect free software system;reliable free software system","","6","","27","IEEE","1 Jul 2019","","","IEEE","IEEE Conferences"
"A Framework to Evaluate the Effectiveness of Different Load Testing Analysis Techniques","R. Gao; Z. M. Jiang; C. Barna; M. Litoiu","Department of Electrical Engineering and Computer Science, York University, Toronto, Canada; York University, Toronto, ON, CA; Department of Electrical Engineering and Computer Science, York University, Toronto, Canada; School of Information Technology, York University, Toronto, Canada","2016 IEEE International Conference on Software Testing, Verification and Validation (ICST)","21 Jul 2016","2016","","","22","32","Large-scale software systems like Amazon and eBay must be load tested to ensure they can handle hundreds and millions of current requests in the field. Load testing usually lasts for a few hours or even days and generates large volumes of system behavior data (execution logs and counters). This data must be properly analyzed to check whether there are any performance problems in a load test. However, the sheer size of the data prevents effective manual analysis. In addition, unlike functional tests, there is usually no test oracle associated with a load test. To cope with these challenges, there have been many analysis techniques proposed to automatically detect problems in a load test by comparing the behavior of the current test against previous test(s). Unfortunately, none of these techniques compare their performance against each other. In this paper, we have proposed a framework, which evaluates and compares the effectiveness of different test analysis techniques. We have evaluated a total of 23 test analysis techniques using load testing data from three open source systems. Based on our experiments, we have found that all the test analysis techniques can effectively build performance models using data from both buggy or non-buggy tests and flag the performance deviations between them. It is more cost-effective to compare the current test against two recent previous test(s), while using testing data collected under longer sampling intervals (≥ 180 seconds). Among all the test analysis techniques, Control Chart, Descriptive Statistics and Regression Tree yield the best performance. Our evaluation framework and findings can be very useful for load testing practitioners and researchers. To encourage further research on this topic, we have made our testing data publicity available to download.","","978-1-5090-1827-7","10.1109/ICST.2016.9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7515456","","Testing;Radiation detectors;Data models;Load modeling;Data mining;Queueing analysis;Topology","control charts;large-scale systems;program testing;public domain software;regression analysis;statistics;trees (mathematics)","load testing analysis;large-scale software systems;Amazon;eBay;open source systems;control chart;descriptive statistics;regression tree","","11","","45","IEEE","21 Jul 2016","","","IEEE","IEEE Conferences"
"Model for teaching and training software testing in an agile context","I. S. Elgrably; S. Ronaldo Bezerra Oliveira","Graduate Program in Computer Sciense (PPGCC), Institute of Exact and Natural Sciences (ICEN), Federal University of Pará (UFPA), Belém, PA, Brazil; Graduate Program in Computer Sciense (PPGCC), Institute of Exact and Natural Sciences (ICEN), Federal University of Pará (UFPA), Belém, PA, Brazil","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","9","This Research to Practice Full Paper presents a proposal for a model to improve the teaching process of software testing supported by elements of agile methods. It was developed to be used as a guide to support professors or specialists for decision making, selection of teaching materials according to the participants' cognitive learning for the execution of subjects or teaching units on topics related to software testing. In addition to suggesting several personalized activities, presenting an instance of application of a teaching syllabus that adheres to several reference syllabus, this model also seeks to be extensible, to be applied in other teaching areas, trying not to be limited to the software testing area. The construction of this model makes use of practical teaching approaches supported by practices, such as gamification and playful teaching to motivate and engage participants, bringing common tasks and technologies in the software industry in parallel to classic lecture classes, in order to develop certain skills, which were obtained through academic syllabus, together with technical skills in software testing for participants, in addition to knowledge of several open source tools that are used by testing professionals in the software industry. This construction is specified in several stages arranged in a teaching cycle, being sequenced when they are applied and can be adapted for other learning scenarios. Subsequently, the skills, competences and support materials that can be used are presented in addition to the possible effects expected on students from the application of this model in the teaching of software testing. As it uses practical teaching approaches, it is advisable that this model is used by professors who have a teaching facilitator profile, as it presents humanistic teaching learning, with a focus on participants and teamwork, principles found in agile methods, in which activities will have deliveries of products that approach what is performed in a software company and it will be necessary the interaction of all participants in the model. The evaluation process for this teaching model took place in two stages. First, there was an analysis and individual evaluation of the model through the questionnaire, then there was a consensus meeting between the evaluators, where they justified the marks attributed in the evaluation and their considerations on other responses. This meeting aimed to solve disagreements and collect opinions, enabling problems to be solved and reaching a final consensus among the evaluators. The authors consider that it is necessary to remodel teaching paradigms of computing subjects, using together some characteristics of traditional approaches with more practical teaching approaches that solidify the knowledge of the participants for the challenges that exist in the software industry.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274117","software testing;teaching model;focus on student;technical skills","Education;Software testing;Software;Computational modeling;Industries;Training;Task analysis","computer aided instruction;computer science education;decision making;educational courses;program testing;teaching","training software testing;teaching process;agile methods;teaching materials;teaching units;teaching syllabus;teaching areas;software testing area;practical teaching approaches;playful teaching;software industry;teaching cycle;support materials;teaching facilitator profile;humanistic teaching learning;teaching model;teaching paradigms","","5","","30","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"Supporting Coordination in Crowdsourced Software Testing Services","M. Alsayyari; S. Alyahya","Information Systems Department, King Saud University, Riyadh, Saudi Arabia; Information Systems Department, King Saud University, Riyadh, Saudi Arabia","2018 IEEE Symposium on Service-Oriented System Engineering (SOSE)","17 May 2018","2018","","","69","75","Crowdsourcing is a new phenomenon with great opportunities and benefits; it refers to outsourcing a task to the internet crowds. Crowdsourced Software Testing (CST) is a specific, valuable crowdsourcing service. Its scale, flexibility, cost effectiveness and fast turnaround times are just a few reasons why web-based crowdsourced testing services have recently received a great deal of attention. Major software companies have used CST to test their applications. However, CST has its own challenges and limitations (e.g., tester selection dilemmas, test report processing, overall test quality). The lack of coordination support in CST activities is causing delays and missed opportunities; hence, the best test results may not be guaranteed. This paper presents ongoing research that aims to support coordination in CST activities by identifying coordination challenges in the current practices. The quantitative comparison of 15 CST platforms reveals a lack of computer-based support for testers, project managers and clients.","","978-1-5386-5207-7","10.1109/SOSE.2018.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359151","Crowdsourcing;Software Testing;Crowdsourced Software Testing;Coordination;Process improvements;Web Services.","Computer bugs;Software testing;Crowdsourcing;Software;Outsourcing;Task analysis","crowdsourcing;Internet;program testing","turnaround times;software companies;tester selection dilemmas;test report processing;test quality;crowdsourced software testing services;internet crowds;CST;outsourcing task;CST platforms;Web-based crowdsourced testing services","","8","","21","Crown","17 May 2018","","","IEEE","IEEE Conferences"
"Automation of regression test in microservice architecture","M. J. Kargar; A. Hanifizade","Department of Computer Engineering, University of science and Culture, Tehran, Iran; Department of Computer Engineering, University of science and Culture, Tehran, Iran","2018 4th International Conference on Web Research (ICWR)","18 Jun 2018","2018","","","133","137","Nowadays Microservice, as one of the most important architectural approaches towards Cloud Computing, has caught the attention of many developers. To give a simple definition of microservice, it could be said: Each microservice is completely independent, and implements a part of the business, which is composed of several microservices. Each microservice could be deployed, updated, and scaled, without any impact on other microservices, and it is all automated. Among Agile methods, Continuous Delivery has played an important role in development process of Microservice-based systems. Continuous Delivery provides faster delivery of changes and faster getting customer's feedbacks. Continuous Delivery consists of many sections, one of which is Software Test. One of the challenges of automated deploying of new releases to production environment, is software reliability, that in case it is breached, the beneficiaries would suffer considerable losses. Regression test is one of the tests used for ensuring reliability, which compares two system versions based on various metrics. This paper proposes an automated method in running this test, which places Regression test in Continuous Delivery steps, which tests operability of the last developed version as a black box, and prevents writing test unit. Finally, microservice developers could ensure the operability of the developed microservice dependencies through investigating obtained comparisons.","","978-1-5386-5364-7","10.1109/ICWR.2018.8387249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387249","microservice;regression test;continuous delivery;DevOps","Computer architecture;Production;Software;Tools;Java;Software reliability;Measurement","cloud computing;program testing;regression analysis;software reliability","regression test;microservice architecture;Continuous Delivery;Cloud Computing;Agile methods;microservice dependencies;Software Test;software reliability","","5","","10","IEEE","18 Jun 2018","","","IEEE","IEEE Conferences"
"Framework for Flexible, Adaptive Support of Test Management by Means of Software Agents","C. V. Jordan; F. Mäurer; S. Löwenberg; J. Provost","Technical University of Munich, Munich, Germany; Technical University of Munich, Munich, Germany; TraceTronic GmbH, Dresden, Germany; Technical University of Munich, Munich, Germany","IEEE Robotics and Automation Letters","4 Jun 2019","2019","4","3","2754","2761","In the context of system testing on hardware-in-theloop test benches, performing functional tests on electrical control units comes with various challenges. Especially planning the execution of test cases for a test cycle and nightly batch runs is cumbersome. In order to support the test managers, this letter proposes an adaptable and flexible test management assistance system. Therefore, a set of requirements for such an assistance system has been identified and proposed solutions from the literature have been recalled. Out of those, software agents appear to be a suitable method for building up the framework of the assistance system. The framework proposed in this letter is divided into two phases: static prioritization of test scripts and dynamic execution ordering. The agents of the former phase aggregate relevant available data from various sources to calculate a test script priority. In the latter, the agents negotiate to solve the resource allocation problem for test scripts on test benches. In addition, test logs are taken into account at runtime for reprioritization. Finally, an industrial use case from the automotive industry is taken as an example to discuss the applicability and current obstacles on the way to application and qualitative evaluation of the expected benefits are discussed.","2377-3766","","10.1109/LRA.2019.2918486","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8719978","Agent-based systems;planning;scheduling and coordination;task planning","Software agents;Job shop scheduling;Planning;Adaptive systems;System testing;Automotive engineering","multi-agent systems;program testing;resource allocation;software agents","phase aggregate relevant available data;dynamic execution ordering;flexible test management assistance system;adaptable test management assistance system;test managers;test cycle;test cases;electrical control units;functional tests;hardware-in-theloop test benches;system testing;software agents;adaptive support;flexible support;test logs;test scripts;test script priority","","2","","23","IEEE","22 May 2019","","","IEEE","IEEE Journals"
"Development Flow for On-Line Core Self-Test of Automotive Microcontrollers","P. Bernardi; R. Cantoro; S. De Luca; E. Sánchez; A. Sansonetti","Politecnico di Torino, Dipartimento di Automatica e Informatica, Torino, Italy; Politecnico di Torino, Dipartimento di Automatica e Informatica, Torino, Italy; STMicroelectronics, Agrate Brianza, Italy; Politecnico di Torino, Dipartimento di Automatica e Informatica, Torino, Italy; STMicroelectronics, Agrate Brianza, Italy","IEEE Transactions on Computers","8 Feb 2016","2016","65","3","744","754","Software-Based Self-Test is an effective methodology for devising the online testing of Systems-on-Chip. In the automotive field, a set of test programs to be run during mission mode is also called Core Self-Test library. This paper introduces many new contributions: (1) it illustrates the several issues that need to be taken into account when generating test programs for on-line execution; (2) it proposed an overall development flow based on ordered generation of test programs that is minimizing the computational efforts; (3) it is providing guidelines for allowing the coexistence of the Core Self-Test library with the mission application while guaranteeing execution robustness. The proposed methodology has been experimented on a large industrial case study. The coverage level reached after one year of team work is over 87 percent of stuck-at fault coverage, and execution time is compliant with the ISO26262 specification. Experimental results suggest that alternative approaches may request excessive evaluation time thus making the generation flow unfeasible for large designs.","1557-9956","","10.1109/TC.2015.2498546","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7321794","Microprocessors and microcomputers;Reliability and Testing;Software-Based Self-Test;Microprocessors and microcomputers;reliability and testing;software-based self-test","Built-in self-test;Registers;Automotive engineering;Robustness;Standards;Interrupters","automobile industry;automotive electronics;fault diagnosis;ISO standards;microcontrollers;program testing;system-on-chip","development flow;on-line core self-test;automotive microcontroller;software-based self-test;systems-on-chip;test program generation;stuck-at fault coverage;ISO26262 specification;automotive industry","","54","1","30","IEEE","6 Nov 2015","","","IEEE","IEEE Journals"
"Supporting efficient test automation using lightweight MBT","E. Bernard; F. Ambert; B. Legeard","FEMTO-ST Institute, Univ. Bourgogne Franche-Comté, CNRS, Besancon, France; FEMTO-ST Institute, Univ. Bourgogne Franche-Comté, CNRS, Besancon, France; FEMTO-ST Institute, Univ. Bourgogne Franche-Comté, CNRS, Besancon, France","2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","4 Aug 2020","2020","","","84","94","The Agile and DevOps transformation of software development practices enhances the need for increased automation of functional testing, especially for regression testing. This poses challenges both in the effort that needs to be devoted to the creation and maintenance of automated test scripts, and in their relevance (i.e. their alignment with business needs). Test automation is still difficult to implement and maintain and the return on investment comes late while projects tend to be short. In this context, we have experimented a lightweight model-based test automation approach to address both productivity and relevance challenges. It integrates test automation through a simple process and tool-chain experimented on large IT projects.","","978-1-7281-1075-2","10.1109/ICSTW50294.2020.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155866","","Automation;Tools;Unified modeling language;Testing;Software;Task analysis","program testing;software prototyping","lightweight MBT;software development practices;functional testing;regression testing;automated test scripts;lightweight model-based test automation approach;agile;DevOps transformation","","1","","10","IEEE","4 Aug 2020","","","IEEE","IEEE Conferences"
"New Techniques to Reduce the Execution Time of Functional Test Programs","M. Gaudesi; I. Pomeranz; M. S. Reorda; G. Squillero","Ominee, S.r.l., Via Carcano 26, Torino, Italy; Purdue University, West Lafayette, IN; Politecnico di Torino, Torino, Italy; Politecnico di Torino, Torino, Italy","IEEE Transactions on Computers","7 Jun 2017","2017","66","7","1268","1273","The compaction of test programs for processor-based systems is of utmost practical importance: Software-Based Self-Test (SBST) is nowadays increasingly adopted, especially for in-field test of safety-critical applications, and both the size and the execution time of the test are critical parameters. However, while compacting the size of binary test sequences has been thoroughly studied over the years, the reduction of the execution time of test programs is still a rather unexplored area of research. This paper describes a family of algorithms able to automatically enhance an existing test program, reducing the time required to run it and, as a side effect, its size. The proposed solutions are based on instruction removal and restoration, which is shown to be computationally more efficient than instruction removal alone. Experimental results demonstrate the compaction capabilities, and allow analyzing computational costs and effectiveness of the different algorithms.","1557-9956","","10.1109/TC.2016.2643663","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7795264","Software-based self-test;test compaction;test generation;test program","Compaction;Computational modeling;Clocks;Built-in self-test;Electronic mail;Algorithm design and analysis","microprocessor chips;program testing;safety-critical software","functional test programs;execution time;test programs;software based self-test;SBST;safety critical applications;compaction capabilities","","15","","44","IEEE","22 Dec 2016","","","IEEE","IEEE Journals"
"The practical aspects of TPS resource data discovery","L. V. Kirkland","Wes Test Engineering Corp., Farmington, Utah","2016 IEEE AUTOTESTCON","13 Oct 2016","2016","","","1","5","Performing a complete and accurate desktop analysis of a Test Program Set (TPS) with all the supporting data can be an extremely exhaustive experience. True TPS transparency has plagued the world of test and diagnosis for decades. Programs managers and users have a need to know exactly how the TPS works and how the Automatic Test Equipment (ATE) resources are allocated. It is fundamental to automatically make available a total envelope of TPS instrument usage and determine or make suggestions about TPS resource allocation considerations or facts. Exposing TPS facts which are somewhat hidden and providing guidance to aid in the determination of planning and support is important for process improvement. The evaluation of ATE resource allocation for a group of TPSs will aid in ATE design engineering. TPS resource transparency needs to be made available to all high level users and managers. Those who use a TPS and those who manage or oversee TPSs should have the resource data readily available to evaluate the TPS to know things like resource allocation usage and how the resources are used to expose TPS instrument requirements for future development and support. There are many pertinent and critical aspects which pertain to instrument settings and usage. Instrument or resource evaluation for a TPS is a much needed notion to judge test program performance and long term support. ATE resource utilization, selection, and recurrent problems of specific instruments, programming techniques or instrument settings can be revealed. There is a potential to refine the way a unit is tested, how resources are allocated and if resources can be optimized. Optimal resource allocation can potentially lower test time, solve TPS weaknesses, and keep current with technology to reduce long term support costs. An emulator can reveal run-time inefficiencies, range settings, limit levels, check program flow, allow assigning values to TPS variables, etc. The comprehensive information contained in the TPS and supporting data can serve to expose under and over utilized test equipment, proper resource selection, and many other issues which determine the quality of the TPS and ATE resources. Software programmable algorithms could expose facts automatically. A TPS developed by different engineers can and probably will utilize different instruments and/or instrument settings to perform some tests. The optimal use of instrumentation can be seen by RTOK rates, diagnostics, optimal measurements and glitches. There will always be some similarities in a TPS developed by different engineers but optimizing resource allocation is vital. To do an automated analysis of TPS resource usage data does provide valuable information but there can be questions about whether or not the TPS developer allocated the ATE resources properly or optimally. It is a fact, TPS developers vary in skill level and there can be profound differences in how resources are allocated. Relying on improperly allocated resources can produce superfluous results. This paper will cover the practical aspects of TPS Resource data. Also discussed is the availability of resource data and how to derive this data.","1558-4550","978-1-5090-0790-5","10.1109/AUTEST.2016.7589565","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7589565","","Instruments;Software;Resource management;Diffusion tensor imaging;Software algorithms;Dynamic scheduling;Pins","automatic test equipment;design engineering;program diagnostics;program testing;program verification;resource allocation","TPS resource data discovery;test program set desktop analysis;program testing;program diagnosis;automatic test equipment;ATE design engineering;TPS resource allocation;process improvement;optimal resource allocation;emulator;TPS comprehensive information;software programmable algorithms;RTOK rates;diagnostics;optimal measurements;glitches;automated analysis;TPS resource usage data","","","1","4","IEEE","13 Oct 2016","","","IEEE","IEEE Conferences"
