Year,Authors,Title,Source
2016,"Kramer, Anne; Legeard, Bruno",Deriving tests from an MBT model,Initial query (2020-04)
2017,"Xie, Xianjie; Yang, Zhijun; Yu, Jiankun; Zhang, Weifeng",Design and implementation of bank financial business automation testing framework based on QTP,Initial query (2020-04)
2018,"Gay, Gregory",Detecting Real Faults in the Gson Library Through Search-Based Unit Test Generation,Initial query (2020-04)
2017,"Guchuk, V. V.",Development of information exchange of software and hardware tools of system of test of difficult scientific-technical objects,Initial query (2020-04)
2018,"Marijan, Dusica; Liaaen, Marius; Sen, Sagar",DevOps Improvements for Reduced Cycle Times with Integrated Test Optimizations for Continuous Integration,Initial query (2020-04)
2018,"Zhang, Bin; Feng, Chao; Herrera, Adrian; Chipounov, Vitaly; Candea, George; Tang, Chaojing",Discover deeper bugs with dynamic symbolic execution and coverage-based fuzz testing,Initial query (2020-04)
2017,"Albunian, Nasser M.",Diversity in search-based unit test suite generation,Initial query (2020-04)
2019,"Vogel, Thomas; Tran, Chinh; Grunske, Lars",Does Diversity Improve the Test Suite Generation for Mobile Applications?,Initial query (2020-04)
2019,"Bruce, Dan; Menéndez, Héctor D.; Clark, David",Dorylus: An Ant Colony Based Tool for Automated Test Case Generation,Initial query (2020-04)
2019,"Pei, Hanyu; Cai, Kai-Yuan; Yin, Beibei; Mathur, Aditya P.; Xie, Min",Dynamic Random Testing: Technique and Experimental Evaluation,Initial query (2020-04)
2019,"Jia, Lianping; Jiao, Peng; Zhang, Junning; Zeng, Zhen; Jiang, Xunpeng",Effect of Calibration Set Selection on Quantitatively Determining Test Weight of Maize by Near-Infrared Spectroscopy,Initial query (2020-04)
2018,"Cai, Simin; Gallina, Barbara; Nyström, Dag; Seceleanu, Cristina",Effective Test Suite Design for Detecting Concurrency Control Faults in Distributed Transaction Systems Simin,Initial query (2020-04)
2019,"Lübke, Daniel; Greenyer, Joel; Vatlin, David",Effectiveness of Combinatorial Test Design with Executable Business Processes,Initial query (2020-04)
2018,"Bach, Thomas; Pannemans, Ralf; Schwedes, Sascha",Effects of an economic approach for test case selection and reduction for a large industrial project,Initial query (2020-04)
2019,"Winkler, Dietmar; Meixner, Kristof; Novak, Petr",Efficient and Flexible Test Automation in Production Systems Engineering,Initial query (2020-04)
2019,"Li, Hongbo; Chen, Zizhong; Gupta, Rajiv",Efficient Concolic Testing of MPI Applications,Initial query (2020-04)
2018,"Böde, Eckard; Bücker, Matthias; Eberle, Ulrich; Fränzle, Martin; Gerwinn, Sebastian; Kramer, Birte",Efficient Splitting of Test and simulation Cases for the Verification of Highly Automated Driving Functions,Initial query (2020-04)
2019,"Lukovtsev, V P; Lukovtseva, N V; Semenova, V A",Electrochemical test system for analysis of sulfur-containing organic substances,Initial query (2020-04)
2016,"Bennin, Kwabena Ebo; Toda, Koji; Kamei, Yasutaka; Keung, Jacky; Monden, Akito; Ubayashi, Naoyasu",Empirical Evaluation of Cross-Release Effort-Aware Defect Prediction Models,Initial query (2020-04)
2018,"Khan, M U; Iftikhar, S; Iqbal, M Z; Sherin, S",Empirical studies omit reporting necessary details: A systematic literature review of reporting quality in model based testing,Initial query (2020-04)
2017,"Lin, Chu Ti; Tang, Kai Wei; Wang, Jiun Shiang; Kapfhammer, Gregory M.",Empirically evaluating Greedy-based test suite reduction methods at different levels of test suite complexity,Initial query (2020-04)
2018,"Arrieta, Aitor; Wang, Shuai; Markiegi, Urtzi; Sagardui, Goiuria; Etxeberria, Leire",Employing Multi-Objective Search to Enhance Reactive Test Generation and Prioritization for Testing Industrial Cyber-Physical Systems,Initial query (2020-04)
2019,"Ali, S; Hafeez, Y; Hussain, S; Yang, S",Enhanced regression testing technique for agile software development and continuous integration strategies,Initial query (2020-04)
2017,"Lin, Mengxiang; Hou, Xiaomei; Liu, Rui; Ge, Linyan",Enhancing Constraint Based Test Generation by Local Search,Initial query (2020-04)
2016,"Wang, Shuai; Ali, Shaukat; Yue, Tao; Bakkeli, Oyvind; Liaaen, Marius",Enhancing test case prioritization in an industrial setting with resource awareness and multi-objective search,Initial query (2020-04)
2018,"Román Muñoz, Fernando; Sabido Cortes, Iván Israel; García Villalba, Luis Javier",Enlargement of vulnerable web applications for testing,Initial query (2020-04)
2017,"Magalhães, Claudio; Andrade, João; Perrusi, Lucas; Mota, Alexandre",Evaluating an Automatic Text-Based Test Case Selection Using a Non-Instrumented Code Coverage Analysis,Initial query (2020-04)
2017,"Krishnan, Padmanabhan; Loh, Jerome; O'Donoghue, Rebecca; Meinicke, Larissa; Loh, Jerome; Meinicke, Larissa",Evaluating Quality of Security Testing of the JDK,Initial query (2020-04)
2018,"Gyori, Alex; Legunsen, Owolabi; Hariri, Farah; Marinov, Darko",Evaluating Regression Test Selection Opportunities in a Very Large Open-Source Ecosystem,Initial query (2020-04)
2020,"de Oliveira Neto, Francisco Gomes; Horkoff, Jennifer; Svensson, Richard; Mattos, David; Knauss, Alessia",Evaluating the Effects of Different Requirements Representations on Writing Test Cases,Initial query (2020-04)
2017,"Sahak, M; Halim, S A; Jawawi, D N A; Isa, M A",Evaluation of software product line test case prioritization technique,Initial query (2020-04)
2017,"Esparcia-Alcázar, A I; Almenar, F; Rueda, U; Vos, T E J",Evolving rules for action selection in automated testing via genetic programming - A first approach,Initial query (2020-04)
2016,"Uehara, T",Exhaustive Test-case Generation using Symbolic Execution,Initial query (2020-04)
2017,"Mostafa, Shaikh; Rodriguez, Rodney; Wang, Xiaoyin",Experience Paper: A Study on Behavioral Backward Incompatibilities of Java Software Libraries,Initial query (2020-04)
2016,"Strandberg, Per Erik; Sundmark, Daniel; Afzal, Wasif; Ostrand, Thomas J.; Weyuker, Elaine J.",Experience Report: Automated System Level Regression Test Prioritization Using Multiple Factors,Initial query (2020-04)
2016,"Anderson, J; Do, H; Salem, S",Experience report: Mining test results for reasons other than functional correctness,Initial query (2020-04)
2018,"Takakura, Shogo; Iwatsuji, Mitsuyoshi; Ishiura, Nagisa",Extending Equivalence Transformation Based Program Generator for Random Testing of C Compilers,Initial query (2020-04)
2019,,Factors Influencing Regression Testing on Cloud and On-Premises: An Analysis,Initial query (2020-04)
2019,"Golagha, Mojdeh; Lehnhoff, Constantin; Pretschner, Alexander; Ilmberger, Hermann",Failure Clustering without Coverage,Initial query (2020-04)
2017,"Kim, Jeongho; Jeong, Hohyeon; Lee, Eunseok",Failure history data-based test case prioritization for effective regression test,Initial query (2020-04)
2018,"Miranda, Breno; Cruciani, Emilio; Verdecchia, Roberto; Bertolino, Antonia",FAST Approaches to Scalable Similarity-Based Test Case Prioritization,Initial query (2020-04)
2019,"Birch, Geoff; Fischer, Bernd; Poppleton, Michael",Fast test suite-driven model-based fault localisation with application to pinpointing defects in student programs,Initial query (2020-04)
2019,"Lavillonnière, Eric; Mentré, David; Cousineau, Denis","Fast, Automatic, and Nearly Complete Structural Unit-Test Generation Combining Genetic Algorithms and Formal Methods",Initial query (2020-04)
2019,"Philip, Adithya Abraham; Bhagwan, Ranjita; Kumar, Rahul; Maddila, Chandra Sekhar; Nagppan, Nachiappan; Nagappan, Nachiappan",FastLane: Test Minimization for Rapidly Deployed Large-Scale Online Services,Initial query (2020-04)
2019,"Cavalcanti, Ana; Simao, Adenilso",Fault-based refinement-testing for CSP,Initial query (2020-04)
2019,"Nguyen, Son; Nguyen, Hoan; Tran, Ngoc; Tran, Hieu; Nguyen, Tien",Feature-interaction aware configuration prioritization for configurable code,Initial query (2020-04)
2018,"Eltayeb, Nabeil; Elhabob, Rashad; Hassan, Alzubair; Li, Fagen",Fine-Grained Attribute-Based Encryption Scheme Supporting Equality Test Nabeil,Initial query (2020-04)
2016,"Lachmann, Remo; Lity, Sascha; Al-Hajjaji, Mustafa; Fürchtegott, Franz; Schaefer, Ina",Fine-grained test case prioritization for integration testing of delta-oriented software product lines,Initial query (2020-04)
2017,"Alberto, Alex; Cavalcanti, Ana; Gaudel, Marie Claude; Simão, Adenilso",Formal mutation testing for Circus,Initial query (2020-04)
2019,"Coppola, Riccardo; Ardito, Luca; Torchiano, Marco",Fragility of Layout-Based and Visual GUI Test Scripts: An Assessment Study on a Hybrid Mobile Application,Initial query (2020-04)
2019,"Jordan, Claudius V.; Maurer, Franziska; Lowenberg, Sven; Provost, Julien","Framework for Flexible, Adaptive Support of Test Management by Means of Software Agents",Initial query (2020-04)
2016,"Sippl, Christoph; Bock, Florian; Wittmann, David; Altinger, Harald; German, Reinhard",From simulation data to test cases for fully automated driving and ADAS,Initial query (2020-04)
2019,"Kesserwan, Nader; Dssouli, Rachida; Bentahar, Jamal; Stepien, Bernard; Labrèche, Pierre",From use case maps to executable test procedures: a scenario-based approach,Initial query (2020-04)
2016,"Yoshida, H; Tokumoto, S; Prasad, M R; Ghosh, I; Uehara, T",FSX: A tool for fine-grained incremental unit test generation for C/C++ Programs,Initial query (2020-04)
2016,"Yoshida, Hiroaki; Tokumoto, Susumu; Prasad, Mukul R.; Ghosh, Indradeep; Uehara, Tadahiro",FSX: Fine-grained incremental unit test generation for C/C++ programs,Initial query (2020-04)
2018,"Tahvili, Sahar; Ahlberg, Marcus; Fornander, Eric; Afzal, Wasif; Saadatmand, Mehrdad; Bohlin, Markus; Sarabi, Mahdi",Functional Dependency Detection for Integration Test Cases,Initial query (2020-04)
2019,"Rejab, M M; Azmi, N F M; Chuprat, S",Fuzzy Delphi Method for evaluating HyTEE model (hybrid software change management tool with test effort estimation),Initial query (2020-04)
2017,"Gay, Gregory",Generating Effective Test Suites by Combining Coverage Criteria,Initial query (2020-04)
2016,"Schrammel, Peter; Melham, Tom; Kroening, Daniel",Generating test case chains for reactive systems,Initial query (2020-04)
2019,"Weigert, Thomas; Kolchin, Alexander; Potiyenko, Stepan; Gurenko, Oleg; van den Berg, Aswin; Banas, Valentyn; Chetvertak, Roman; Yagodka, Roman; Volkov, Vlad",Generating Test Suites to Validate Legacy Systems,Initial query (2020-04)
2017,"Huo, Jiatong; Xue, Bing; Shang, Lin; Zhang, Mengjie",Genetic Programming for Multi-objective Test Data Generation in Search Based Software Testing,Initial query (2020-04)
2017,"Delgado-Pérez, Pedro; Medina-Bulo, Inmaculada; Segura, Sergio; García-Domínguez, Antonio; Domínguez-Jiménez, Juan José; Garc$\backslash$'$\backslash$ia-Dom$\backslash$'$\backslash$inguez, Antonio; José, Juan",GiGAn: Evolutionary Mutation Testing for C++ Object-Oriented Systems,Initial query (2020-04)
2019,"Ma, S.-P.; Fan, C.-Y.; Chuang, Y; Liu, I.-H.; Lan, C.-W.","Graph-based and scenario-driven microservice analysis, retrieval, and testing",Initial query (2020-04)
2019,"Coons, D; Doyle, W; Lee, M; Shin, J.-I.",High-Speed Digital Bus Testing using Automatic Test-Markup Language (ATML),Initial query (2020-04)
2016,"Wang, Xiaolin; Zeng, Hongwei",History-Based Dynamic Test Case Prioritization for Requirement Properties in Regression Testing,Initial query (2020-04)
2016,"Zhang, Peng; White, Jules; Schmidt, Douglas C.",HoliCoW: Automatically breaking team-based software projects to motivate student testing,Initial query (2020-04)
2019,"Luo, Qi; Moran, Kevin; Zhang, Lingming; Poshyvanyk, Denys",How Do Static and Dynamic Test Case Prioritization Techniques Perform on Modern Software Systems? An Extensive Study on GitHub Projects,Initial query (2020-04)
2017,"Cruzes, D S; Felderer, M; Oyetoyan, T D; Gander, M; Pekaric, I",How is security testing done in agile teams? A cross-case analysis of four software teams,Initial query (2020-04)
2017,"Kuusinen, Kati; Gregory, Peggy; Sharp, Helen; Barroca, Leonor; Taylor, Katie; Wood, Laurence",How is Security Testing Done in Agile Teams? A Cross-Case Analysis of Four Software Teams,Initial query (2020-04)
2017,"Melo, Silvana Morita; De Souza, S.D.R.S. Simone Do Rocio Senger; De Souza, Paulo Sergio Lopes; Carver, Jeffrey C.",How to test your concurrent software: An approach for the selection of testing techniques,Initial query (2020-04)
2017,"Ferreira, T N; Lima, J A P; Strickler, A; Kuk, J N; Vergilio, S R; Pozo, A",Hyper-Heuristic Based Product Selection for Software Product Line Testing,Initial query (2020-04)
2018,"Czibula, Istvan Gergely; Czibula, Gabriela; Marian, Zsuzsanna",Identifying Class Integration Test Order Using an Improved Genetic Algorithm-Based Approach,Initial query (2020-04)
2017,"Wang, Z; Zhao, X; Zou, Y; Yu, X; Wang, Z",Improved annealing-genetic algorithm for test case prioritization,Initial query (2020-04)
2016,"Marijan, Dusica",Improving configurable software testing with statistical test selection,Initial query (2020-04)
2017,"Al-Refai, M",Improving model-based regression test selection,Initial query (2020-04)
2018,"Chen, Z; Guo, H.-F.; Song, M",Improving regression test efficiency with an awareness of refactoring changes,Initial query (2020-04)
2018,"Rothermel, Gregg",Improving Regression Testing in Continuous Integration Development Environments (Keynote),Initial query (2020-04)
2019,"Najafi, Armin; Shang, Weiyi; Rigby, Peter C.",Improving Test Effectiveness Using Test Executions History: An Industrial Experience Report,Initial query (2020-04)
2016,"Buchgeher, Georg; Klammer, Claus; Heider, Wolfgang; Schuetz, Martin; Huber, Heinz",Improving testing in an enterprise SOA with an architecture-based approach,Initial query (2020-04)
2018,"Luiz Jakubovski Filho, H; Nascimento Ferreira, T; Regina Vergilio, S",Incorporating User Preferences in a Software Product Line Testing Hyper-Heuristic Approach,Initial query (2020-04)
2018,"Panichella, Annibale; Kifetew, Fitsum Meshesha; Tonella, Paolo",Incremental Control Dependency Frontier Exploration for Many-Criteria Test Case Generation,Initial query (2020-04)
2016,"EmaShankari, K H; ThirumalaiSelvi, R; Balasubramanian, N V",Industry based regression testing using IIGRTCP algorithm and RFT tool,Initial query (2020-04)
2017,"Garousi, Vahid; Eskandar, Matt M.; Herkiloğlu, Kadir",Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey,Initial query (2020-04)
2019,"Mukherjee, Rajendrani; Patnaik, K. Sridhar",Introducing a Fuzzy Model for Cost Cognizant Software Test Case Prioritization,Initial query (2020-04)
2016,"Kramer, Anne; Legeard, Bruno",Introducing MBT in your company,Initial query (2020-04)
2017,"Mishra, Abhishek",Introduction to Test-Driven Development,Initial query (2020-04)
2017,"Toure, Fadel; Badri, Mourad; Lamontagne, Luc",Investigating the prioritization of unit testing effort using software metrics,Initial query (2020-04)
2017,"Prause, Christian R; Werner, Jürgen; Hornig, Kay; Bosecker, Sascha; Kuhrmann, Marco",Is 100% Test Coverage a Reasonable Requirement? Lessons Learned from a Space Software Project,Initial query (2020-04)
2016,"Arcuri, Andrea; Fraser, Gordon",Java Enterprise Edition Support in Search-Based JUnit Test Generation,Initial query (2020-04)
2018,"Arcuri, Andrea",Journal first presentation of an experience report on applying software testing academic results in industry: We need usable automated test generation,Initial query (2020-04)
2018,"Wnuk, Krzysztof; Garrepalli, Thrinay",Knowledge management in software testing: A systematic snowball literature review,Initial query (2020-04)
2016,"Cheng, Y.-P. Yung Pin; Liang, Deron; Wang, Wei Jen W.-J.",KORAT - A platform independent test automation tool by emulating keyboard/mouse hardware signals,Initial query (2020-04)
2016,"Veeraraghavan, Kaushik; Meza, Justin; Chou, David; Kim, Wonho; Margulis, Sonia; Michelson, Scott; Nishtala, Rajesh; Obenshain, Daniel; Perelman, Dmitri; Song, Yee Jiun",Kraken: Leveraging Live Traffic Tests to Identify and Resolve Resource Utilization Bottlenecks in Large Scale Web Services,Initial query (2020-04)
2016,"Busjaeger, Benjamin; Xie, Tao",Learning for test prioritization: An industrial case study,Initial query (2020-04)
2019,"Ramler, Rudolf; Klammer, Claus; Wetzlmaier, Thomas",Lessons Learned from Making the Transition to Model-Based GUI Testing,Initial query (2020-04)
2018,"Asoudeh, Nesa; Labiche, Yvan","Life sciences-inspired test case similarity measures for search-based, FSM-based software testing",Initial query (2020-04)
2017,"Panichella, Annibale; Kifetew, Fitsum Meshesha; Tonella, Paolo",LIPS vs MOSA: A replicated empirical study on automated test case generation,Initial query (2020-04)
2019,"Wang, Xiaolin; Zeng, Hongwei; Gao, Honghao; Miao, Huaikou; Lin, Weiwei",Location-Based Test Case Prioritization for Software Embedded in Mobile Devices Using the Law of Gravitation,Initial query (2020-04)
2019,"Hoss, M; Westmeier, F; Akelbein, J.-P.",Low cost high resolution ampere meter for automated power tests for constrained devices,Initial query (2020-04)
2018,"Arcuri, Andrea",Many Independent Objective (MIO) Algorithm for Test Suite Generation,Initial query (2020-04)
2017,"Oliveira, Carlos",Mapping Hardness of Automated Software Testing,Initial query (2020-04)
2016,"Kuhn, D. Richard; Kacker, Raghu N.; Lei, Yu",Measuring and specifying combinatorial coverage of test input configurations,Initial query (2020-04)
2017,"Labuschagne, Adriaan; Inozemtseva, Laura; Holmes, Reid",Measuring the cost of regression testing in practice: A study of Java projects using continuous integration,Initial query (2020-04)
2019,"Badri, Mourad; Badri, Linda; Hachemane, Oussama; Ouellet, Alexandre",Measuring the effect of clone refactoring on the size of unit test cases in object-oriented software: an empirical study,Initial query (2020-04)
2018,"Hema Shankari, K; Selvi, R T",Methodology for regression testing with open source tool,Initial query (2020-04)
2020,"Eismann, Simon",Microservices : A Performance Tester ' s Dream or Nightmare ?,Initial query (2020-04)
2019,"Mahmoud, Abdulrahman; Venkatagiri, Radha; Ahmed, Khalique; Misailovic, Sasa; Marinov, Darko; Fletcher, Christopher W.; Adve, Sarita V.",Minotaur: Adapting Software Testing Techniques for Hardware Errors,Initial query (2020-04)
2017,"Zech, Philipp; Kalb, Philipp; Felderer, Michael; Atkinson, Colin; Breu, Ruth",Model-based regression testing by OCL,Initial query (2020-04)
2016,"Felderer, Michael; Zech, Philipp; Breu, Ruth; Büchler, Matthias; Pretschner, Alexander",Model-based security testing: A taxonomy and systematic classification,Initial query (2020-04)
2016,"Kramer, Anne; Legeard, Bruno",Model-Based Testing Essentials: Guide to the ISTQB® Certified Model-Based Tester Foundation Level,Initial query (2020-04)
2016,"Ponce de León, Hernán; Haar, Stefan; Longuet, Delphine",Model-based testing for concurrent systems: unfolding-based test selection,Initial query (2020-04)
2019,"Møller, Anders; Torp, Martin Toldam; M$\backslash$oller, Anders; Torp, Martin Toldam",Model-Based Testing of Breaking Changes in Node.Js Libraries,Initial query (2020-04)
2017,"Fellner, Andreas; Krenn, Willibald; Schlick, Rupert; Tarrach, Thorsten; Weissenbacher, Georg","Model-Based, Mutation-Driven Test Case Generation via Heuristic-Guided Branching Search",Initial query (2020-04)
2019,"Fellner, Andreas; Krenn, Willibald; Schlick, Rupert; Tarrach, Thorsten; Weissenbacher, Georg","Model-Based, Mutation-Driven Test-Case Generation Via Heuristic-Guided Branching Search",Initial query (2020-04)
2018,"Jovanovikj, Ivan; Engels, Gregor; Anjorin, Anthony; Sauer, Stefan",Model-Driven Test Case Migration: The Test Case Reengineering Horseshoe Model,Initial query (2020-04)
2016,"Hodován, Renáta; Kiss, Ákos",Modernizing Hierarchical Delta Debugging,Initial query (2020-04)
2016,"Brucker, Achim D.Wolff, Burkhart",Monadic Sequence Testing and Explicit Test-Refinement,Initial query (2020-04)
2019,"Correia, Daniel; Abreu, Rui; Santos, Pedro; Nadkarni, Joo",MOTSD: A multi-objective test selection tool using test suite diagnosability,Initial query (2020-04)
2017,"Lachmann, Remo; Schulze, Sandro; Felderer, Michael; Seidl, Christoph; Nieke, Manuel; Schaefer, Ina",Multi-objective black-box test case selection for system testing,Initial query (2020-04)
2018,"Garousi, V; Özkan, R; Betin-Can, A",Multi-objective regression test selection in practice: An empirical study in the defense software industry,Initial query (2020-04)
2016,"Turner, Andrew J; White, David R; Drake, John H.",Multi-objective Regression Test Suite Minimisation for Mockito,Initial query (2020-04)
2016,"Parejo, José A.; Sánchez, Ana B.; Segura, Sergio; Ruiz-Cortés, Antonio; Lopez-Herrejon, Roberto E.; Egyed, Alexander",Multi-objective test case prioritization in highly configurable systems: A case study,Initial query (2020-04)
2018,"Tulasiraman, M; Vivekanandan, N; Kalimuthu, V",Multi-objective Test Case Prioritization Using Improved Pareto-Optimal Clonal Selection Algorithm,Initial query (2020-04)
2016,"Enoui, Eduard P; Sundmark, Daniel; Causevic, Adnan; Feldt, Robert; Pettersson, Paul",Mutation-Based Test Generation for PLC Embedded Software Using Model Checking Eduard,Initial query (2020-04)
2018,"Reichstaller, André; Gabor, Thomas; Knapp, Alexander",Mutation-Based Test Suite Evolution for Self-Organizing Systems,Initial query (2020-04)
2019,"van den Bos, Petra; Janssen, Ramon; Moerman, Joshua",n-Complete test suites for IOCO,Initial query (2020-04)
2016,"Maciaszek, Leszek A.; Filipe, Joaquim",On Generating Test Cases from EDT Specification,Initial query (2020-04)
2019,"Serra, Domenico; Grano, Giovanni; Palomba, Fabio; Ferrucci, Filomena; Gall, Harald C.; Bacchelli, Alberto",On the effectiveness of manual and automatic unit test generation: Ten years later,Initial query (2020-04)
2019,"bin Ali, Nauman; Engström, Emelie; Taromirad, Masoumeh; Mousavi, Mohammad Reza; Minhas, Nasir Mehmood; Helgesson, Daniel; Kunze, Sebastian; Varshosaz, Mahsa",On the search for industry-relevant regression testing research,Initial query (2020-04)
2019,"Ul Haq, Sami; Qamar, Usman",Ontology based test case generation for black box testing,Initial query (2020-04)
2018,"Slaats, Tijs; Debois, Søren; Hildebrandt, Thomas",Open to Change: A Theory for Iterative Test-Driven Modelling,Initial query (2020-04)
2018,"Chen, Junjie; Lou, Yiling; Zhang, Lingming Lu; Zhou, Jianyi; Wang, Xiaoleng; Hao, Dan; Zhang, Lingming Lu",Optimizing Test Prioritization via Test Distribution Analysis,Initial query (2020-04)
2019,"Gharachorlu, Golnaz; Sumner, Nick",Pardis: Priority Aware Test Case Reduction,Initial query (2020-04)
2016,"Janata, Nishtha; Suri, Bharti; Misra, Sanjay; Kumar, Prateek; Choudhury, Amit Roy",Particle Swarm Based Evolution and Generation of Test Data Using Mutation Testing,Initial query (2020-04)
2019,"Norberto, Marcus; Gaedicke, Lukas; Bernardino, Maicon; Legramante, Guilherme; Basso, Fabio Paulo; Rodrigues, Elder Macedo",Performance testing in mobile application: A systematic literature map,Initial query (2020-04)
2017,"Ding, Senke; Xu, Peifu; Wu, Weimin; Yang, Yi; Xing, Zichao; Lu, Feihua; Li, Cheng",Petri net based software testing scheduling and selecting,Initial query (2020-04)
2018,"Palmskog, Karl; Celik, Ahmet; Gligoric, Milos",PiCoq: Parallel Regression Proving for Large-Scale Verification Projects,Initial query (2020-04)
2019,"Luo, Zhengxiong; Zuo, Feilong; Jiang, Yu; Gao, Jian; Jiao, Xun; Sun, Jiaguang",Polar: Function Code Aware Fuzz Testing of ICS Protocol,Initial query (2020-04)
2016,"Hervieu, Aymeric; Marijan, Dusica; Gotlieb, Arnaud; Baudry, Benoit",Practical Minimization of Pairwise-Covering Test Configurations Using Constraint Programming,Initial query (2020-04)
2018,"Marijan, Dusica; Liaaen, Marius",Practical selective regression testing with effective redundancy in interleaved tests,Initial query (2020-04)
2019,"Raulamo-Jurvanen, Päivi; Hosio, Simo; Mäntylä, Mika V.",Practitioner evaluations on software testing tools,Initial query (2020-04)
2016,"Black, Rex",Pragmatic Software Testing,Initial query (2020-04)
2018,"Toure, Fadel; Badri, Mourad; Lamontagne, Luc",Predicting different levels of the unit testing effort of classes using source code metrics: a multiple case study on open-source software,Initial query (2020-04)
2019,"Machalica, Mateusz; Samylkin, Alex; Porth, Meredith; Chandra, Satish",Predictive Test Selection,Initial query (2020-04)
2019,"Bures, M; Ahmed, B S; Zamli, K Z",Prioritized Process Test: An Alternative to Current Process Testing Strategies,Initial query (2020-04)
2016,"Sfetsos, P; Angelis, L; Stamelos, I",Prioritized test-driven reverse engineering process: A case study,Initial query (2020-04)
2016,"Hirzel, Matthias; Brachthäuser, Jonathan Immanuel; Klaeren, Herbert",Prioritizing Regression Tests for Desktop and Web-Applications Based on the Execution Frequency of Modified Code,Initial query (2020-04)
2016,"Qian, Ju; Zhou, Di",Prioritizing Test Cases for Memory Leaks in Android Applications,Initial query (2020-04)
2017,"Ramezanian, Sara; Meskanen, Tommi; Naderpour, Masoud; Niemi, Valtteri",Private Membership Test Protocol with Low Communication Complexity,Initial query (2020-04)
2016,"Kayes, Imrul; Sarker, Mithun; Chakareski, Jacob",Product backlog rating: a case study on measuring test quality in scrum,Initial query (2020-04)
2016,"Ahrendt, Wolfgang; Gladisch, Chirstoph; Herda, Mihai",Proof-based Test Case Generation,Initial query (2020-04)
2019,"De Angelis, Emanuele; Fioravanti, Fabio; Palacios, Adrián; Pettorossi, Alberto; Proietti, Maurizio",Property-Based Test Case Generators for Free,Initial query (2020-04)
2019,"Kaplan, Jonathan",Putting to Test a Model of Self-evaluation of the Learning Method in an e-Learning Environment Jonathan,Initial query (2020-04)
2017,"Wang, Song; Nam, Jaechang; Tan, Lin",QTEP: Quality-aware test case prioritization,Initial query (2020-04)
2019,"Zhi, Chen; Deng, Shuiguang; Yin, Jianwei; Fu, Min; Zhu, Hai; Li, Yuanping; Xie, Tao",Quality Assessment for Large-Scale Industrial Software Systems: Experience Report at Alibaba,Initial query (2020-04)
2016,"Cai, Yan; Yang, Zijiang",Radius Aware Probabilistic Testing of Deadlocks with Guarantees,Initial query (2020-04)
2017,"Parizi, Reza Meimandi; Ghani, Abdul Azim Abdul; Lee, Sai Peck; Khan, Saif Ur Rehman",RAMBUTANS: automatic AOP-specific test generation tool,Initial query (2020-04)
2016,"Kirkland, Larry V.; McConkey, Cori N.",Recurrent TPS Development Issues or Ascertaining the Excellence of an Automated Unit Test,Initial query (2020-04)
2017,"Celik, Ahmet; Vasic, Marko; Milicevic, Aleksandar; Gligoric, Milos",Regression test selection across JVM boundaries,Initial query (2020-04)
2018,"Celik, Ahmet; Lee, Young Chul; Gligoric, Milos",Regression Test Selection for TizenRT,Initial query (2020-04)
2020,"Minhas, N M; Petersen, K; Börstler, J; Wnuk, K",Regression testing for large-scale embedded software development – Exploring the state of practice,Initial query (2020-04)
2018,"Hema Shankari, K; Thirumalai Selvi, R",Regression testing using IGRTCP algorithm for industry application,Initial query (2020-04)
2018,"Sneed, Harry M",Requirement-Based Testing - Extracting Logical Test Cases from Requirement Documents,Initial query (2020-04)
2016,"Srikanth, Hema; Hettiarachchi, Charitha; Do, Hyunsook",Requirements Based Test Prioritization Using Risk Factors,Initial query (2020-04)
2018,"Sun, Tao; Zhang, Wei; Guo, Xin; Wan, Xiaoyun",Research on CPN model reduction focus on parallel tested behaviors,Initial query (2020-04)
2019,"Augusto, Cristian; Morán, Jesús; Bertolino, Antonia; de la Riva, Claudio; Tuya, Javier",RETORCH: Resource-Aware End-to-End Test Orchestration,Initial query (2020-04)
2019,"Zamani, Shayan; Hemmati, Hadi",Revisiting Hyper-Parameter Tuning for Search-Based Test Data Generation,Initial query (2020-04)
2016,"Hettiarachchi, Charitha; Do, Hyunsook; Choi, Byoungju",Risk-based test case prioritization using a fuzzy expert system,Initial query (2020-04)
2019,"Bastidas, M; Pardo, C; Ardila, C",Risk-based testing: Preliminary findings obtained from a systematic mapping study of the literature,Initial query (2020-04)
2016,"Leotta, Maurizio; Stocco, Andrea; Ricca, Filippo; Tonella, Paolo",Robula+: An algorithm for generating robust XPath locators for web testing,Initial query (2020-04)
2020,"Ali, Atif; Hafeez, Yaser; Hussain, Shariq; Yang, Shunkun",Role of Requirement Prioritization Technique to Improve the Quality of Highly-Configurable Systems,Initial query (2020-04)
2019,"Lam, Wing; Godefroid, Patrice; Nath, Suman; Santhiar, Anirudh; Thummalapenta, Suresh",Root Causing Flaky Tests in a Large-Scale Industrial Setting,Initial query (2020-04)
2019,"Guo, Jiaqi; Li, Shuyue; Lou, Jian-Guang Guang; Yang, Zijiang; Liu, Ting",Sara: Self-Replay Augmented Record and Replay for Android in Industrial Cases,Initial query (2020-04)
2019,"Cruciani, Emilio; Miranda, Breno; Verdecchia, Roberto; Bertolino, Antonia",Scalable Approaches for Test Suite Reduction,Initial query (2020-04)
